wall_time,unix_sec,source,event
2026-09-07T15:45:42.052+08:00,1788767142.052187,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:43.102+08:00,1788767143.102443,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:44.151+08:00,1788767144.151867,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:45.201+08:00,1788767145.201874,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:46.251+08:00,1788767146.251875,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:47.301+08:00,1788767147.301875,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:48.304+08:00,1788767148.304928,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:49.355+08:00,1788767149.355704,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:50.401+08:00,1788767150.401981,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:51.403+08:00,1788767151.403689,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:52.451+08:00,1788767152.451890,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:53.502+08:00,1788767153.502003,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:54.502+08:00,1788767154.502662,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:55.551+08:00,1788767155.551887,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:56.558+08:00,1788767156.558333,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:57.601+08:00,1788767157.601892,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:58.603+08:00,1788767158.603329,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:45:59.651+08:00,1788767159.651865,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:00.701+08:00,1788767160.701838,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:01.751+08:00,1788767161.751870,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:02.801+08:00,1788767162.801841,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:03.853+08:00,1788767163.853867,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:04.901+08:00,1788767164.901899,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
2026-09-07T15:46:05.951+08:00,1788767165.951875,console/rosbag,Landing remains latched; republished LAND command so px4ctrl can accept it after entering AUTO_HOVER
